id,title,full_text,paragraphs,references,children
216.405-2-71,Award fee reduction or denial for failure to comply with requirements relating to performance of private security functions.,"(a)  In accordance with section 862 of the National Defense Authorization Act for Fiscal Year 2008, as amended, the contracting officer shall include in any award-fee plan a requirement to review contractor compliance with, or violation of, applicable requirements of the contract with regard to the performance of private security functions in an area of contingency operations, complex contingency operations, or other military operations or exercises that are designated by the combatant commander (see 225.370 ).
(b)  In evaluating the contractor’s performance under a contract that includes the clause at 252.225-7039 , Defense Contractors Performing Private Security Functions Outside the United States, the contracting officer shall consider reducing or denying award fees for a period if the contractor fails to comply with the requirements of the clause during such period.  The contracting officer’s evaluation also shall consider recovering all or part of award fees previously paid for such period.","['(a)  In accordance with section 862 of the National Defense Authorization Act for Fiscal Year 2008, as amended, the contracting officer shall include in any award-fee plan a requirement to review contractor compliance with, or violation of, applicable requirements of the contract with regard to the performance of private security functions in an area of contingency operations, complex contingency operations, or other military operations or exercises that are designated by the combatant commander (see 225.370 ).', '(b)  In evaluating the contractor’s performance under a contract that includes the clause at 252.225-7039 , Defense Contractors Performing Private Security Functions Outside the United States, the contracting officer shall consider reducing or denying award fees for a period if the contractor fails to comply with the requirements of the clause during such period.  The contracting officer’s evaluation also shall consider recovering all or part of award fees previously paid for such period.']","225.370,252.225-7039",
216.406,Contract clauses.,"(e) Use the clause at 252.216-7004 ,
Award Fee Reduction or Denial for Jeopardizing the Health or Safety
of Government Personnel, in all solicitations and contracts containing
award-fee provisions.","['(e) Use the clause at 252.216-7004 ,\nAward Fee Reduction or Denial for Jeopardizing the Health or Safety\nof Government Personnel, in all solicitations and contracts containing\naward-fee provisions.']",252.216-7004,
216.470,Other applications of award fees.,See PGI 216.470 for guidance on other applications of award fees.,['See PGI 216.470 for guidance on other applications of award fees.'],,
216.501,RESERVED,,[],,216.501-2-70
216.501-2-70,General.,"(a)(i)  For items with a shelf-life of less than six months, consider the use of indefinite-delivery type contracts with orders to be placed either—
(A)  Directly by the users; or
(B)  By central purchasing offices with deliveries direct to users.
(ii)  Whenever an indefinite-delivery contract is issued, the issuing office must furnish all ordering offices sufficient information for the ordering office to complete its contract reporting responsibilities under 204.670-2.  This data must be furnished to the ordering activity in sufficient time for the activity to prepare its report for the action within three working days of the order.
(b) See 217.204 (e)(i) for limitations on the period for task order or delivery order contracts awarded by DoD pursuant to 10 U.S.C. 3403 .","['(a)(i)  For items with a shelf-life of less than six months, consider the use of indefinite-delivery type contracts with orders to be placed either—', '(A)  Directly by the users; or', '(B)  By central purchasing offices with deliveries direct to users.', '(ii)  Whenever an indefinite-delivery contract is issued, the issuing office must furnish all ordering offices sufficient information for the ordering office to complete its contract reporting responsibilities under 204.670-2.  This data must be furnished to the ordering activity in sufficient time for the activity to prepare its report for the action within three working days of the order.', '(b) See 217.204 (e)(i) for limitations on the period for task order or delivery order contracts awarded by DoD pursuant to 10 U.S.C. 3403 .']",217.204,
216.505,Ordering.,"(a) General.
(6) Orders placed under indefinite-delivery contracts may be issued on DD Form 1155, Order for Supplies or Services.
(S-70) Departments and agencies shall comply with the review, approval, and reporting requirements established in accordance with subpart 217.7 when placing orders under non-DoD contracts in amounts exceeding the simplified acquisition threshold.
(b) Orders under multiple-award contracts.
(1) Fair opportunity.
(A) See 215.101-2 -70 for the limitations and prohibitions on the use of the lowest price technically acceptable source selection process, which are applicable to orders placed against multiple award indefinite delivery contracts.
(B) See 217.7801 for the prohibition on the use of reverse auctions for personal protective equipment and aviation critical safety items.
(2) Exceptions to the fair opportunity process. For an order exceeding the simplified acquisition threshold, that is a follow-on to an order previously issued for the same supply or service based on a justification for an exception to fair opportunity citing the authority at FAR 16.505 (b)(2)(i)(B) or (C), follow the procedures at 216.505 (b)(2).
(6) Postaward notices and debriefing of awardees for orders exceeding $6 million. In addition to the notice required at FAR 16.505 (b)(6), a written or oral postaward debriefing of successful and unsuccessful awardees is required for task orders and delivery orders valued at $10 million or more (section 818 of the National Defense Authorization Act for Fiscal Year 2018 (Pub. L. 115-91)).
(ii) Follow the procedures at 216.506 and 215.506-70 when providing the postaward debriefing to successful and unsuccessful awardees for task orders or delivery orders valued at $10 million or more.","['(a) General.', '(6) Orders placed under indefinite-delivery contracts may be issued on DD Form 1155, Order for Supplies or Services.', '(S-70) Departments and agencies shall comply with the review, approval, and reporting requirements established in accordance with subpart 217.7 when placing orders under non-DoD contracts in amounts exceeding the simplified acquisition threshold.', '(b) Orders under multiple-award contracts.', '(1) Fair opportunity.', '(A) See 215.101-2 -70 for the limitations and prohibitions on the use of the lowest price technically acceptable source selection process, which are applicable to orders placed against multiple award indefinite delivery contracts.', '(B) See 217.7801 for the prohibition on the use of reverse auctions for personal protective equipment and aviation critical safety items.', '(2) Exceptions to the fair opportunity process. For an order exceeding the simplified acquisition threshold, that is a follow-on to an order previously issued for the same supply or service based on a justification for an exception to fair opportunity citing the authority at FAR 16.505 (b)(2)(i)(B) or (C), follow the procedures at 216.505 (b)(2).', '(6) Postaward notices and debriefing of awardees for orders exceeding $6 million. In addition to the notice required at FAR 16.505 (b)(6), a written or oral postaward debriefing of successful and unsuccessful awardees is required for task orders and delivery orders valued at $10 million or more (section 818 of the National Defense Authorization Act for Fiscal Year 2018 (Pub. L. 115-91)).', '(ii) Follow the procedures at 216.506 and 215.506-70 when providing the postaward debriefing to successful and unsuccessful awardees for task orders or delivery orders valued at $10 million or more.']","215.101-2,217.7801,216.506,215.506-70",216.505-70
216.505-70,Orders under multiple award contracts.,"If only one offer is received in response to an order exceeding the simplified acquisition threshold that is placed on a competitive basis, the contracting officer shall follow the procedures at 215.371 .","['If only one offer is received in response to an order exceeding the simplified acquisition threshold that is placed on a competitive basis, the contracting officer shall follow the procedures at 215.371 .']",215.371,
216.506,Solicitationprovisions and contract clauses.,,[],,216.506-70
216.506-70,Additional solicitation provisionsand contract clause.,"(a)
Use the provisions at 252.215-7007 , Notice
of Intent to Resolicit, and 252.215-7008 , Only One
Offer, as prescribed at 215.371-6 and 215.408 (3),
respectively.
(b)
Use the clause at 252.216-7010, Postaward Debriefings for Task Orders
and Delivery Orders, in competitive negotiated solicitations and
contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition
of commercial items, when a multiple-award contract is contemplated
and task orders or delivery orders placed under the contract may
be valued at $10 million or more.","['(a)\nUse the provisions at 252.215-7007 , Notice\nof Intent to Resolicit, and 252.215-7008 , Only One\nOffer, as prescribed at 215.371-6 and 215.408 (3),\nrespectively.', '(b)\nUse the clause at 252.216-7010, Postaward Debriefings for Task Orders\nand Delivery Orders, in competitive negotiated solicitations and\ncontracts, including solicitations and contracts using FAR part 12 procedures for the acquisition\nof commercial items, when a multiple-award contract is contemplated\nand task orders or delivery orders placed under the contract may\nbe valued at $10 million or more.']","252.215-7007,252.215-7008,215.371-6,215.408",
216.601,Time-and-materials contracts.,"(d) Limitations .
(i)(A) Approval of determination and findings for time-and-materials or labor-hour contracts.
( 1 ) Base period plus any option periods is three years or less.
( i )  For contracts (including indefinite-delivery contracts) and orders in which the portion of the requirement performed on a time-and-materials or labor-hour basis exceeds $1 million, the approval authority for the determination and findings shall be the senior contracting official within the contracting activity.  This authority may not be delegated.
( ii )  For contracts (including indefinite-delivery contracts) and orders in which the portion of the requirement performed on a time-and-materials or labor-hour basis is less than or equal to $1 million, the determination and findings shall be approved one level above the contracting officer.
( 2 ) Base period plus any option periods exceeds three years. The authority of the head of the contracting activity to approve the determination and findings may not be delegated.
(3)  Exception.  The approval requirements in paragraphs (d)(i)(A)(1) and (2) of this section do not apply to contracts that, as determined by the head of the contracting activity—
(i)  Support contingency or humanitarian or peacekeeping operations; or
(ii) Facilitate defense against or recovery from conventional, cyber, nuclear, biological, chemical or radiological attack;
( iii )  Facilitate the provision of international disaster assistance;
Or
( iv )  Support response to an emergency or major disaster.
(B) Content of determination and findings .  The determination and findings shall contain sufficient facts and rationale to justify that no other contract type is suitable.  At a minimum, the determination and findings shall—
( 1 )  Include a description of the market research conducted;
( 2 )  Establish that it is not possible at the time of placing the contract or order to accurately estimate the extent or duration of the work or to anticipate costs with any reasonable degree of certainty;
( 3 )  Address why a cost-plus-fixed-fee term or other cost-reimbursement, incentive, or fixed-price contract or order is not appropriate; for contracts (including indefinite-delivery contracts) and orders for noncommercial items awarded to contractors with adequate accounting systems, a cost-plus-fixed-fee term contract type shall be preferred over a time-and-materials or labor-hour contract type;
( 4 )  Establish that the requirement has been structured to minimize the use of time-and-materials and labor-hour requirements (e.g., limiting the value or length of the time-and-materials or labor-hour portion of the contract or order; establishing fixed prices for portions of the requirement); and
( 5 )  Describe the actions planned to minimize the use of time-and-materials and labor-hour contracts on future acquisitions for the same requirements.
(C) Indefinite-delivery contracts .  For indefinite-delivery contracts, the contracting officer shall structure contracts that authorize time-and-materials orders to also authorize orders on a cost-reimbursement, incentive, or fixed-price basis, to the maximum extent practicable.
(e) Solicitation provisions .  Use the provision at FAR 52.216-29, Time-and-Materials/Labor-Hour Proposal Requirements – Non-Commercial Item Acquisition with Adequate Price Competition, with 252.216-7002 , Alternate A, in solicitations contemplating the use of a time-and-materials or labor-hour contract type for non-commercial items if the price is expected to be based on adequate competition.","['(d) Limitations .', '(i)(A) Approval of determination and findings for time-and-materials or labor-hour contracts.', '( 1 ) Base period plus any option periods is three years or less.', '( i )  For contracts (including indefinite-delivery contracts) and orders in which the portion of the requirement performed on a time-and-materials or labor-hour basis exceeds $1 million, the approval authority for the determination and findings shall be the senior contracting official within the contracting activity.  This authority may not be delegated.', '( ii )  For contracts (including indefinite-delivery contracts) and orders in which the portion of the requirement performed on a time-and-materials or labor-hour basis is less than or equal to $1 million, the determination and findings shall be approved one level above the contracting officer.', '( 2 ) Base period plus any option periods exceeds three years. The authority of the head of the contracting activity to approve the determination and findings may not be delegated.', '(3)  Exception.  The approval requirements in paragraphs (d)(i)(A)(1) and (2) of this section do not apply to contracts that, as determined by the head of the contracting activity—', '(i)  Support contingency or humanitarian or peacekeeping operations; or', '(ii) Facilitate defense against or recovery from conventional, cyber, nuclear, biological, chemical or radiological attack;', '( iii )  Facilitate the provision of international disaster assistance;', 'Or', '( iv )  Support response to an emergency or major disaster.', '(B) Content of determination and findings .  The determination and findings shall contain sufficient facts and rationale to justify that no other contract type is suitable.  At a minimum, the determination and findings shall—', '( 1 )  Include a description of the market research conducted;', '( 2 )  Establish that it is not possible at the time of placing the contract or order to accurately estimate the extent or duration of the work or to anticipate costs with any reasonable degree of certainty;', '( 3 )  Address why a cost-plus-fixed-fee term or other cost-reimbursement, incentive, or fixed-price contract or order is not appropriate; for contracts (including indefinite-delivery contracts) and orders for noncommercial items awarded to contractors with adequate accounting systems, a cost-plus-fixed-fee term contract type shall be preferred over a time-and-materials or labor-hour contract type;', '( 4 )  Establish that the requirement has been structured to minimize the use of time-and-materials and labor-hour requirements (e.g., limiting the value or length of the time-and-materials or labor-hour portion of the contract or order; establishing fixed prices for portions of the requirement); and', '( 5 )  Describe the actions planned to minimize the use of time-and-materials and labor-hour contracts on future acquisitions for the same requirements.', '(C) Indefinite-delivery contracts .  For indefinite-delivery contracts, the contracting officer shall structure contracts that authorize time-and-materials orders to also authorize orders on a cost-reimbursement, incentive, or fixed-price basis, to the maximum extent practicable.', '(e) Solicitation provisions .  Use the provision at FAR 52.216-29, Time-and-Materials/Labor-Hour Proposal Requirements – Non-Commercial Item Acquisition with Adequate Price Competition, with 252.216-7002 , Alternate A, in solicitations contemplating the use of a time-and-materials or labor-hour contract type for non-commercial items if the price is expected to be based on adequate competition.']",252.216-7002,
216.603,Letter contracts.,,[],,"216.603-2,216.603-3,216.603-4"
216.603-2,Application.,"(c)(3) In accordance with 10 U.S.C. 3372 , establish definitization schedules for letter contracts following the requirements at 217.7404-3 (a) instead of the requirements at FAR 16.603-2(c)(3).","['(c)(3) In accordance with 10 U.S.C. 3372 , establish definitization schedules for letter contracts following the requirements at 217.7404-3 (a) instead of the requirements at FAR 16.603-2(c)(3).']",217.7404-3,
216.603-3,Limitations.,See Subpart 217.74 for additional limitations on the use of letter contracts.,['See Subpart 217.74 for additional limitations on the use of letter contracts.'],,
216.603-4,Contract clauses.,"(b)(2) See 217.7405 (a) for additional guidance regarding use of the clause at FAR 52.216-24, Limitation of Government Liability.
(3) Use the clause at 252.217-7027 , Contract Definitization, in accordance with its prescription 217.7406 (b), instead of the clause at FAR 52.216-25, Contract Definitization.","['(b)(2) See 217.7405 (a) for additional guidance regarding use of the clause at FAR 52.216-24, Limitation of Government Liability.', '(3) Use the clause at 252.217-7027 , Contract Definitization, in accordance with its prescription 217.7406 (b), instead of the clause at FAR 52.216-25, Contract Definitization.']","217.7405,252.217-7027,217.7406",
216.703,Basic ordering agreements.,"(c) Limitations. The period during which orders may be placed against a basic ordering agreement may not exceed 5 years.
(d) Orders. Follow the procedures at PGI 216.703 (d) for issuing orders under basic ordering agreements.","['(c) Limitations. The period during which orders may be placed against a basic ordering agreement may not exceed 5 years.', '(d) Orders. Follow the procedures at PGI 216.703 (d) for issuing orders under basic ordering agreements.']",,
236.102,Definitions.,"“Construction activity” means an activity at any organizational level of the DoD that—
(1)  Is responsible for the architectural, engineering, and other related technical aspects of the planning, design, and construction of facilities; and
(2)  Receives its technical guidance from the Army Office of the Chief of Engineers, Naval Facilities Engineering Command, or Air Force Directorate of Civil Engineering.
“Marshallese firm” is defined in the provision at 252.236-7012 , Military Construction on Kwajalein Atoll—Evaluation Preference.
“United States firm” is defined in the provisions at 252.236-7010 , Overseas Military Construction—Preference for United States Firms, and 252.236-7011 , Overseas Architect-Engineer Services—Restriction to United States Firms.","['“Construction activity” means an activity at any organizational level of the DoD that—', '(1)  Is responsible for the architectural, engineering, and other related technical aspects of the planning, design, and construction of facilities; and', '(2)  Receives its technical guidance from the Army Office of the Chief of Engineers, Naval Facilities Engineering Command, or Air Force Directorate of Civil Engineering.', '“Marshallese firm” is defined in the provision at 252.236-7012 , Military Construction on Kwajalein Atoll—Evaluation Preference.', '“United States firm” is defined in the provisions at 252.236-7010 , Overseas Military Construction—Preference for United States Firms, and 252.236-7011 , Overseas Architect-Engineer Services—Restriction to United States Firms.']","252.236-7012,252.236-7010,252.236-7011",
236.203,Government estimate of construction costs.,Follow the procedures at PGI 236.203 for handling the Government estimate of construction costs.,['Follow the procedures at PGI 236.203 for handling the Government estimate of construction costs.'],,
236.204,Disclosure of the magnitude of construction projects.,"Additional price ranges are—
(i)  Between $10,000,000 and $25,000,000;
(ii)  Between $25,000,000 and $100,000,000;
(iii)  Between $100,000,000 and $250,000,000;
(iv)  Between $250,000,000 and $500,000,000; and
(v)  Over $500,000,000.","['Additional price ranges are—', '(i)  Between $10,000,000 and $25,000,000;', '(ii)  Between $25,000,000 and $100,000,000;', '(iii)  Between $100,000,000 and $250,000,000;', '(iv)  Between $250,000,000 and $500,000,000; and', '(v)  Over $500,000,000.']",,
236.206,Liquidated damages.,See 211.503 for instructions on use of liquidated damages.,['See 211.503 for instructions on use of liquidated damages.'],211.503,
236.213,Special procedures for sealed bidding in construction contracting.,"If it appears that sufficient funds may not be available for all the desired construction features, consider using a bid schedule with additive or deductive items in accordance with PGI 236.213 .","['If it appears that sufficient funds may not be available for all the desired construction features, consider using a bid schedule with additive or deductive items in accordance with PGI 236.213 .']",,
236.215,Special procedures for cost-reimbursement contracts for construction.,"For contracts in connection with a military construction project or military family housing project, see the prohibition at 216.301-3 .","['For contracts in connection with a military construction project or military family housing project, see the prohibition at 216.301-3 .']",216.301-3,
236.270,Expediting construction contracts.,"(a)  10 U.S.C. 2858 requires agency head approval to expedite the completion date of a contract funded by a Military Construction Appropriations Act, if additional costs are involved.  This approval authority may not be redelegated.  The approval authority must—
(1)  Certify that the additional expenditures are necessary to protect the National interest; and
(2)  Establish a reasonable completion date for the project.
(b)  The contracting officer may approve an expedited completion date if no additional costs are involved.","['(a)  10 U.S.C. 2858 requires agency head approval to expedite the completion date of a contract funded by a Military Construction Appropriations Act, if additional costs are involved.  This approval authority may not be redelegated.  The approval authority must—', '(1)  Certify that the additional expenditures are necessary to protect the National interest; and', '(2)  Establish a reasonable completion date for the project.', '(b)  The contracting officer may approve an expedited completion date if no additional costs are involved.']",,
236.271,Cost-plus-fixed-fee contracts.,Annual military construction appropriations acts restrict the use of cost-plus-fixed-fee contracts (see 216.306 (c)). See also 216.301-3 regarding the prohibition against the use of certain cost-reimbursement contracts in connection with a military construction project or military family housing project.,['Annual military construction appropriations acts restrict the use of cost-plus-fixed-fee contracts (see 216.306 (c)). See also 216.301-3 regarding the prohibition against the use of certain cost-reimbursement contracts in connection with a military construction project or military family housing project.'],"216.306,216.301-3",
236.272,Prequalification of sources.,"(a)  Prequalification procedures may be used when necessary to ensure timely and efficient performance of critical construction projects.  Prequalification—
(1)  Results in a list of sources determined to be qualified to perform a specific construction contract; and
(2)  Limits offerors to those with proven competence to perform in the required manner.
(b)  The head of the contracting activity must—
(1)  Authorize the use of prequalification by determining, in writing, that a construction project is of an urgency or complexity that requires prequalification; and
(2)  Approve the prequalification procedures.
(c)  For small businesses, the prequalification procedures must require the qualifying authority to—
(1)  Request a preliminary recommendation from the appropriate Small Business Administration regional office, if the qualifying authority believes a small business is not responsible;
(2)  Permit the small business to submit a bid or proposal if the preliminary recommendation is that the small business is responsible; and
(3)  Follow the procedures in FAR 19.6, if the small business is in line for award and is found nonresponsible.","['(a)  Prequalification procedures may be used when necessary to ensure timely and efficient performance of critical construction projects.  Prequalification—', '(1)  Results in a list of sources determined to be qualified to perform a specific construction contract; and', '(2)  Limits offerors to those with proven competence to perform in the required manner.', '(b)  The head of the contracting activity must—', '(1)  Authorize the use of prequalification by determining, in writing, that a construction project is of an urgency or complexity that requires prequalification; and', '(2)  Approve the prequalification procedures.', '(c)  For small businesses, the prequalification procedures must require the qualifying authority to—', '(1)  Request a preliminary recommendation from the appropriate Small Business Administration regional office, if the qualifying authority believes a small business is not responsible;', '(2)  Permit the small business to submit a bid or proposal if the preliminary recommendation is that the small business is responsible; and', '(3)  Follow the procedures in FAR 19.6, if the small business is in line for award and is found nonresponsible.']",,
236.273,Construction in foreign countries.,"(a)  In accordance with section 112 of the Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2015 (Division I of Pub. L. 113-235) and the same provision in subsequent military construction appropriations acts, military construction contracts funded with military construction appropriations, that are estimated to exceed $1,000,000 and are to be performed in the United States outlying areas in the Pacific and on Kwajalein Atoll, or in countries bordering the Arabian Gulf (i.e., Iran, Oman, United Arab Emirates, Saudi Arabia, Qatar, Bahrain, Kuwait, and Iraq), shall be awarded only to United States firms, unless—
(1)  The lowest responsive and responsible offer of a United States firm exceeds the lowest responsive and responsible offer of a foreign firm by more than 20 percent; or
(2)  The contract is for military construction on Kwajalein Atoll and the lowest responsive and responsible offer is submitted by a Marshallese firm.
(b)  See PGI 236.273 (b) for guidance on technical working agreements with foreign governments.","['(a)  In accordance with section 112 of the Military Construction and Veterans Affairs and Related Agencies Appropriations Act, 2015 (Division I of Pub. L. 113-235) and the same provision in subsequent military construction appropriations acts, military construction contracts funded with military construction appropriations, that are estimated to exceed $1,000,000 and are to be performed in the United States outlying areas in the Pacific and on Kwajalein Atoll, or in countries bordering the Arabian Gulf (i.e., Iran, Oman, United Arab Emirates, Saudi Arabia, Qatar, Bahrain, Kuwait, and Iraq), shall be awarded only to United States firms, unless—', '(1)  The lowest responsive and responsible offer of a United States firm exceeds the lowest responsive and responsible offer of a foreign firm by more than 20 percent; or', '(2)  The contract is for military construction on Kwajalein Atoll and the lowest responsive and responsible offer is submitted by a Marshallese firm.', '(b)  See PGI 236.273 (b) for guidance on technical working agreements with foreign governments.']",,
236.274,Restriction on acquisition of steel for use in military construction projects.,"In accordance with section 108 of the Military Construction and Veterans Affairs Appropriations Act, 2009 (Pub. L. 110-329, Division E) and the same provision in subsequent military construction appropriations acts, do not acquire, or allow a contractor to acquire, steel for any construction project or activity for which American steel producers, fabricators, or manufacturers have been denied the opportunity to compete for such acquisition of steel.","['In accordance with section 108 of the Military Construction and Veterans Affairs Appropriations Act, 2009 (Pub. L. 110-329, Division E) and the same provision in subsequent military construction appropriations acts, do not acquire, or allow a contractor to acquire, steel for any construction project or activity for which American steel producers, fabricators, or manufacturers have been denied the opportunity to compete for such acquisition of steel.']",,
236.275,Construction of industrial resources.,See Subpart 237.75 for policy relating to facilities projects.,['See Subpart 237.75 for policy relating to facilities projects.'],,
236.303,RESERVED,,[],,236.303-1
236.303-1,Phase One.,"(a)(4) In lieu of the limitations on the maximum number of offerors that may be selected to submit phase-two proposals at FAR 36.303-1(a)(4), for DoD—
(i) If the contract value exceeds $4.5 million, the maximum number of offerors specified in the solicitation that are to be selected to submit phase-two proposals shall not exceed five, unless—
(A) The solicitation is issued for an indefinite-delivery indefinite-quantity contract for design-build construction; or
(B) The head of the contracting activity, delegable to a level no lower than the senior contracting official within the contracting activity, approves the contracting officer’s decision with respect to an individual solicitation, that a maximum number greater than five is in the best interest of the Government and is consistent with the purposes and objectives of the two-phase selection procedures. The decision shall be documented in the contract file ( U.S.C. 3241(d) ).
(ii) If the contract value is at or below $4.5 million, the maximum number of offerors specified in the solicitation that are to be selected to submit phase-two proposals is at the discretion of the contracting officer.","['(a)(4) In lieu of the limitations on the maximum number of offerors that may be selected to submit phase-two proposals at FAR 36.303-1(a)(4), for DoD—', '(i) If the contract value exceeds $4.5 million, the maximum number of offerors specified in the solicitation that are to be selected to submit phase-two proposals shall not exceed five, unless—', '(A) The solicitation is issued for an indefinite-delivery indefinite-quantity contract for design-build construction; or', '(B) The head of the contracting activity, delegable to a level no lower than the senior contracting official within the contracting activity, approves the contracting officer’s decision with respect to an individual solicitation, that a maximum number greater than five is in the best interest of the Government and is consistent with the purposes and objectives of the two-phase selection procedures. The decision shall be documented in the contract file ( U.S.C. 3241(d) ).', '(ii) If the contract value is at or below $4.5 million, the maximum number of offerors specified in the solicitation that are to be selected to submit phase-two proposals is at the discretion of the contracting officer.']",,
236.570,Additional provisions and clauses.,"(a) Use the following clauses in all fixed-price construction solicitations and contracts -
(1) 252.236-7000 , Modification Proposals-Price Breakdown; and
(2) 252.236-7001 , Contract Drawings and Specifications.
(b) Use the following provisions and clauses in fixed-price construction contracts and solicitations as applicable -
(1) 252.236-7002 , Obstruction of Navigable Waterways, when the contract will involve work near or on navigable waterways.
(2) When the head of the contracting activity has approved use of a separate bid item for mobilization and preparatory work, use either -
(i) 252.236-7003 , Payment for Mobilization and Preparatory Work. Use this clause for major construction contracts that require -
(A) Major or special items of plant and equipment; or
(B) Large stockpiles of material which are in excess of the type, kind, and quantity which would be normal for a contractor qualified to undertake the work; or
(ii) 252.236-7004 , Payment for Mobilization and Demobilization. Use this clause for contracts involving major mobilization expense, or plant equipment and material (other than the situations covered in paragraph (b)(2)(i) of this section) made necessary by the location or nature of the work.
(A) Generally, allocate 60 percent of the lump sum price in paragraph (a) of the clause to the cost of mobilization.
(B) Vary this percentage to reflect the circumstances of the particular contract, but in no event should mobilization exceed 80 percent of the payment item.
(3) 252.236-7005 , Airfield Safety Precautions, when construction will be performed on or near airfields.
(4) 252.236-7006 , Cost Limitation, if the solicitation's bid schedule contains one or more items subject to statutory cost limitations, and if a waiver has not been granted (FAR 36.205).
(5) 252.236-7007 , Additive or Deductive Items, if the procedures in 236.213 are being used.
(6) 252.236-7008 , Contract Prices - Bidding Schedule, if the contract will contain only unit prices for some items.
(c) Use the following provisions in solicitations for military construction contracts that are funded with military construction appropriations and are estimated to exceed $1,000,000:
(1) 252.236-7010 , Overseas Military Construction - Preference for United States Firms, when contract performance will be in a United States outlying area in the Pacific or in a country bordering the Arabian Gulf.
(2) 252.236-7012 , Military Construction on Kwajalein Atoll - Evaluation Preference, when contract performance will be on Kwajalein Atoll.
(d) Use the clause at 252.236-7013 , Requirement for Competition Opportunity for American Steel Producers, Fabricators, and Manufacturers, in solicitations and contracts that -
(1) Use funds appropriated for military construction); and
(2) May require the acquisition of steel as a construction material.
(e) Also see 246.710 (4) for an additional clause applicable to construction contracts to be performed in Germany.","['(a) Use the following clauses in all fixed-price construction solicitations and contracts -', '(1) 252.236-7000 , Modification Proposals-Price Breakdown; and', '(2) 252.236-7001 , Contract Drawings and Specifications.', '(b) Use the following provisions and clauses in fixed-price construction contracts and solicitations as applicable -', '(1) 252.236-7002 , Obstruction of Navigable Waterways, when the contract will involve work near or on navigable waterways.', '(2) When the head of the contracting activity has approved use of a separate bid item for mobilization and preparatory work, use either -', '(i) 252.236-7003 , Payment for Mobilization and Preparatory Work. Use this clause for major construction contracts that require -', '(A) Major or special items of plant and equipment; or', '(B) Large stockpiles of material which are in excess of the type, kind, and quantity which would be normal for a contractor qualified to undertake the work; or', '(ii) 252.236-7004 , Payment for Mobilization and Demobilization. Use this clause for contracts involving major mobilization expense, or plant equipment and material (other than the situations covered in paragraph (b)(2)(i) of this section) made necessary by the location or nature of the work.', '(A) Generally, allocate 60 percent of the lump sum price in paragraph (a) of the clause to the cost of mobilization.', '(B) Vary this percentage to reflect the circumstances of the particular contract, but in no event should mobilization exceed 80 percent of the payment item.', '(3) 252.236-7005 , Airfield Safety Precautions, when construction will be performed on or near airfields.', ""(4) 252.236-7006 , Cost Limitation, if the solicitation's bid schedule contains one or more items subject to statutory cost limitations, and if a waiver has not been granted (FAR 36.205)."", '(5) 252.236-7007 , Additive or Deductive Items, if the procedures in 236.213 are being used.', '(6) 252.236-7008 , Contract Prices - Bidding Schedule, if the contract will contain only unit prices for some items.', '(c) Use the following provisions in solicitations for military construction contracts that are funded with military construction appropriations and are estimated to exceed $1,000,000:', '(1) 252.236-7010 , Overseas Military Construction - Preference for United States Firms, when contract performance will be in a United States outlying area in the Pacific or in a country bordering the Arabian Gulf.', '(2) 252.236-7012 , Military Construction on Kwajalein Atoll - Evaluation Preference, when contract performance will be on Kwajalein Atoll.', '(d) Use the clause at 252.236-7013 , Requirement for Competition Opportunity for American Steel Producers, Fabricators, and Manufacturers, in solicitations and contracts that -', '(1) Use funds appropriated for military construction); and', '(2) May require the acquisition of steel as a construction material.', '(e) Also see 246.710 (4) for an additional clause applicable to construction contracts to be performed in Germany.']","252.236-7000,252.236-7001,252.236-7002,252.236-7003,252.236-7004,252.236-7005,252.236-7006,252.236-7007,236.213,252.236-7008,252.236-7010,252.236-7012,252.236-7013,246.710",
